# SDSSJID, ra, dec, z, g_last_phot, ge_last_phot, obsflag, FESflag, FEStargflag, CLQflag, radioflag, logL5100, logMBH, logEdd_ratio, LOGL_OIII_5007
000116.00+141123.0    0.316674   14.189731  0.404  21.009  0.071  1  1    TDSS_FES_HYPQSO  0  0   44.520   8.74   -1.35 42.512
000904.54-103428.7    2.268926  -10.574640  0.241  19.123  0.022  1  0                N/A  1  0   44.325   8.01   -0.82 42.303
001113.46-110023.5    2.806089  -11.006549  0.495  21.233  0.113  1  0                N/A  0  0   44.203   8.21   -1.15 41.484
001206.25-094536.3    3.026082   -9.760109  0.566  21.638  0.148  1  0                N/A  0  0   44.582   8.51   -1.06 42.032
001502.38-094439.1    3.759927   -9.744217  0.336  20.283  0.055  1  0                N/A  0  0   44.122   8.83   -1.84 41.630
002311.06+003517.5    5.796093    0.588196  0.422  18.728  0.016  1  1      TDSS_FES_MGII  0  0   44.513   9.23   -1.85 42.195
002450.50+003447.7    6.210435    0.579925  0.524  19.814  0.029  1  0                N/A  0  0   44.567   8.70   -1.27 42.007
002627.89-101020.5    6.616243  -10.172385  0.718  20.583  0.063  1  0                N/A  0  0   44.690   9.01   -1.49 42.475
002714.21+001203.7    6.809220    0.201037  0.454  19.466  0.024  1  0                N/A  0  0   44.557   8.19   -0.77 42.052
004339.32+134436.5   10.913875   13.743481  0.527  21.248  0.104  1  1    TDSS_FES_HYPQSO  1  0   44.437   8.81   -1.51 42.546
005244.14+142807.1   13.183932   14.468650  0.652  20.478  0.034  1  1    TDSS_FES_HYPQSO  0  0   44.623   8.54   -1.05 42.240
012821.43+151956.4   22.089293   15.332349  0.548  20.190  0.032  1  0                N/A  0  0   44.630   8.21   -0.71 42.040
012946.71+150457.2   22.444634   15.082572  0.365  20.029  0.101  1  1    TDSS_FES_NQHISN  0  0   44.637   9.27   -1.77 42.533
013203.46-093153.6   23.014445   -9.531573  0.190  19.479  0.024  1  0                N/A  0  0   44.053   7.83   -0.92 41.517
013458.36-091435.4   23.743173   -9.243175  0.443  19.970  0.035  1  0                N/A  1  0    0.000   8.52   -1.03 41.530
015957.64+003310.4   29.990187    0.552900  0.312  19.942  0.044  1  0                N/A  1  0   44.211   8.40   -1.32 41.593
022556.07+003026.7   36.483657    0.507418  0.504  20.710  0.178  1  0                N/A  1  0   44.384   8.35   -1.10 41.594
022652.24-003916.5   36.717678   -0.654585  0.625  21.676  0.186  1  0                N/A  1  0   44.338   7.48   -0.27 41.573
025428.83-004834.9   43.620144   -0.809695  0.810  20.831  0.087  0  0                N/A  0  0   44.795   8.71   -1.16 41.136
025505.68+002522.9   43.773670    0.423045  0.354  20.775  0.086  1  0                N/A  0  0   44.614   8.51   -1.03 41.992
025606.03+001634.8   44.025128    0.276344  0.627  21.531  0.116  1  0                N/A  0  0   44.360   7.67   -0.44 41.889
025619.01-004501.3   44.079245   -0.750380  0.723  19.844  0.050  1  1    TDSS_FES_HYPQSO  0  0   44.883   9.27   -1.35 42.543
033702.66+010627.5   54.261113    1.107648  0.428  21.582  0.185  1  0                N/A  0  0   44.076   8.87   -1.93 40.938
034017.33+003152.6   55.072247    0.531302  0.726  20.514  0.057  0  0                N/A  0  0   44.649   8.43   -0.94 42.182
034144.72-002854.3   55.436361   -0.481764  0.623  19.162  0.027  1  0                N/A  0  0   44.457   9.93   -2.61 42.246
034330.48-073703.1   55.877000   -7.617543  0.742  20.813  0.101  1  0                N/A  0  0   44.452   8.74   -1.29 42.149
074305.47+422013.5  115.772820   42.337090  0.342  20.705  0.065  1  0                N/A  0  0   44.244   8.75   -1.64 42.166
074502.90+374947.0  116.262100   37.829731  0.593  21.677  0.162  1  0                N/A  0  0   44.358   8.38   -1.15 42.431
074511.98+380911.3  116.299930   38.153149  0.237  19.875  0.030  1  0                N/A  1  0   44.109   8.64   -1.67 41.350
074719.65+215245.9  116.831900   21.879419  0.462  20.816  0.062  1  0                N/A  0  0   44.210   8.70   -1.62 42.324
074732.62+371722.9  116.885950   37.289703  0.395  19.640  0.034  0  0                N/A  0  0   44.395   8.29   -1.03 42.300
075228.65+405931.7  118.119380   40.992142  0.423  19.790  0.028  1  1        TDSS_FES_DE  0  0   44.444   8.22   -0.91 42.222
075504.34+430123.8  118.768110   43.023289  0.649  21.468  0.106  0  0                N/A  0  0   44.326   8.27   -1.08 41.504
075525.67+415217.5  118.856970   41.871536  0.560  21.433  0.132  0  0                N/A  0  0   44.130   7.77   -0.78 42.167
080014.70+215047.2  120.061260   21.846460  0.476  21.719  0.167  0  0                N/A  0  0   44.186   8.42   -1.37 41.516
081906.95+313136.7  124.778960   31.526867  0.632  19.216  0.018  0  1    TDSS_FES_HYPQSO  0  0   45.005   9.14   -1.27 42.435
082451.13+473221.4  126.213050   47.539280  0.285  20.608  0.056  1  0                N/A  0  0   44.018   8.58   -1.70 41.471
082708.53+425017.8  126.785580   42.838299  0.333  20.409  0.044  1  0                N/A  0  0   44.090   8.52   -1.57 42.204
082734.94+493210.0  126.895620   49.536133  0.227  19.852  0.051  0  0                N/A  0  0   43.896   7.77   -1.00 41.018
083406.94+350602.9  128.528920   35.100807  0.470  19.524  0.023  1  0                N/A  0  0   44.411   9.03   -1.75 42.127
083528.43+384712.5  128.868460   38.786831  0.405  20.117  0.036  1  0                N/A  0  0   44.472   8.45   -1.11 42.071
083741.97+041358.7  129.424900    4.232989  0.449  20.509  0.069  1  0                N/A  0  0   44.463   8.68   -1.35 41.714
084418.71+303804.2  131.077960   30.634516  0.363  20.325  0.060  0  0                N/A  0  0   44.192   8.27   -1.21 41.811
084419.29+503152.1  131.080400   50.531166  0.323  19.688  0.027  0  0                N/A  0  0   44.278   8.60   -1.46 41.996
084455.11+381237.5  131.229660   38.210438  0.409  21.310  0.078  1  0                N/A  0  0   44.362   8.82   -1.59 41.538
084811.92+340844.6  132.049680   34.145741  0.341  21.176  0.107  0  0                N/A  0  0   44.213   8.91   -1.83 41.669
084820.15+014620.3  132.083960    1.772311  0.572  19.793  0.037  0  0                N/A  0  0   44.637   8.93   -1.43 42.426
084955.90+175035.7  132.482930   17.843258  0.558  20.484  0.059  0  0                N/A  0  0   44.426   8.68   -1.38 41.165
085155.23+150835.5  132.980130   15.143198  0.454  20.585  0.051  0  1    TDSS_FES_HYPQSO  0  0   44.528   9.14   -1.75 41.757
085259.22+031320.6  133.246760    3.222392  0.297  17.246  0.007  0  0                N/A  0  0   45.114   8.38   -0.40 41.924
085353.67+133520.1  133.473660   13.588918  0.578  20.663  0.067  0  1    TDSS_FES_HYPQSO  0  0   44.530   8.92   -1.53 41.951
085431.90+253229.4  133.632920   25.541510  0.570  20.503  0.061  0  1    TDSS_FES_HYPQSO  0  0   44.382   8.44   -1.19 41.936
085451.72+012609.9  133.715520    1.436109  0.542  19.500  0.022  0  0                N/A  0  0   44.798   8.31   -0.64 43.020
085626.71+511117.8  134.111320   51.188286  0.543  20.756  0.096  0  0                N/A  0  0   44.535   9.27   -1.87 42.378
090104.75+345524.2  135.269830   34.923389  0.564  20.989  0.057  1  0                N/A  0  0   44.703   9.22   -1.65 42.400
090339.98+241257.6  135.916590   24.216005  0.605  20.762  0.083  0  1    TDSS_FES_HYPQSO  0  0   44.531   9.16   -1.76 41.926
090345.97+391821.0  135.941580   39.305855  0.374  20.397  0.044  0  0                N/A  0  0   44.107   8.92   -1.95 41.379
090355.18+594401.3  135.979930   59.733719  0.567  20.112  0.042  0  0                N/A  0  0   44.400   9.07   -1.80 41.964
090826.12+421529.9  137.108870   42.258331  0.592  21.029  0.087  0  1    TDSS_FES_HYPQSO  0  0   44.359   9.09   -1.87 42.368
091234.00+262828.2  138.141700   26.474520  0.551  20.221  0.066  0  1    TDSS_FES_HYPQSO  0  0   44.448   8.87   -1.55 42.103
091412.69+340915.5  138.552880   34.154305  0.574  20.876  0.056  0  1    TDSS_FES_HYPQSO  0  0   44.387   8.62   -1.37 42.003
091635.00+405514.5  139.145860   40.920708  0.529  21.330  0.117  0  0                N/A  0  0   44.138   8.21   -1.21 41.985
091730.71+110110.6  139.377960   11.019638  0.303  20.365  0.044  1  1        TDSS_FES_DE  0  0   44.246   8.73   -1.62 41.676
091903.57+350236.3  139.764890   35.043419  0.211  19.177  0.023  1  1    TDSS_FES_NQHISN  0  0   44.242   7.71   -0.60 41.646
092109.11+392315.8  140.287990   39.387730  0.329  20.548  0.046  1  0                N/A  1  0   44.092   8.44   -1.49 41.517
092150.22+575615.1  140.459260   57.937534  0.400  20.280  0.049  0  1        TDSS_FES_DE  0  0   44.428   8.91   -1.61 42.433
